rank,palabra,frecuencia
669,absorción,1644
670,tema,1640
671,compañía,1640
672,alumnado,1640
673,empezar,1639
674,nacido,1634
675,deformación,1633
676,dinámica,1631
677,respuesta,1629
678,frente,1629
679,radiactivo,1626
680,tasa,1621
681,disponible,1619
682,revista,1618
683,primario,1617
684,presidente,1616
685,eliminar,1613
686,haz,1612
687,amplio,1607
688,industrial,1601
689,preciso,1599
690,pesado,1597
691,oxígeno,1597
692,configuración,1596
693,university,1594
694,proporcional,1591
695,noviembre,1586
696,poner,1576
697,dividir,1575
698,ayudar,1572
699,calidad,1570
700,viajar,1568
701,sitio,1568
702,web,1564
703,febrero,1563
704,absoluto,1563
705,perder,1558
706,esfuerzo,1554
707,necesidad,1550
708,creación,1547
709,periodo,1544
710,san,1542
711,entropía,1541
712,ácido,1541
713,detector,1540
714,anillo,1539
715,aparato,1538
716,science,1537
717,california,1536
718,oficial,1535
719,ventaja,1534
720,ruido,1530
721,edad,1528
722,departamento,1527
723,biografía,1526
724,situado,1524
725,resto,1518
726,méxico,1516
727,múltiple,1516
728,evolución,1513
729,vertical,1513
730,hijo,1513
731,aplicado,1511
732,débil,1510
733,observatorio,1503
734,dinámico,1499
735,minuto,1498
736,adecuado,1493
737,von,1492
738,ideal,1492
739,robert,1491
740,separación,1488
741,comparación,1485
742,autor,1483
743,símbolo,1480
744,frío,1480
745,pared,1475
746,nombrar,1472
747,identificar,1470
748,camino,1469
749,conocimiento,1469
750,ocupar,1468
751,amplitud,1464
752,móvil,1460
753,tratamiento,1460
754,fisión,1457
755,algoritmo,1457
756,regla,1457
757,composición,1457
758,generador,1457
759,completamente,1456
760,mar,1456
761,ingeniero,1454
762,colocar,1453
763,parís,1451
764,gracias,1447
765,etapa,1445
766,planck,1444
767,termodinámico,1444
768,afectar,1443
769,girar,1442
770,vectorial,1437
771,resonancia,1434
772,militar,1433
773,publicado,1432
774,gravitacional,1431
775,rayos,1430
776,electrodo,1428
777,mil,1427
778,physics,1423
779,accidente,1422
780,doctorado,1422
781,simplemente,1421
782,impacto,1420
783,numeroso,1417
784,difícil,1416
785,profundidad,1416
786,usuario,1414
787,mayor,1410
788,geométrico,1410
789,elegir,1408
790,mujer,1405
791,caliente,1405
792,texto,1404
793,largo,1403
794,filtro,1398
795,explicación,1394
796,arco,1391
797,integral,1391
798,herramienta,1388
799,lente,1388
800,gráfico,1386
801,consumo,1386
802,intentar,1385
803,visual,1385
804,caer,1381
805,pieza,1379
806,new,1379
807,primero,1377
808,global,1375
809,afirmar,1374
810,abierto,1371
811,tender,1371
812,nacer,1370
813,secundario,1370
814,periódico,1370
815,relativista,1368
816,juego,1368
817,diseñar,1367
818,ambos,1366
819,significativo,1366
820,fibra,1362
821,parecer,1360
822,regular,1360
823,cerrado,1358
824,conexión,1358
825,europa,1355
826,controlar,1352
827,exposición,1351
828,der,1349
829,lent,1349
830,diagrama,1346
831,protección,1346
832,círculo,1346
833,práctico,1345
834,resolución,1344
835,marco,1342
836,suficientemente,1339
837,buscar,1336
838,personal,1333
839,reflejar,1333
840,médico,1331
841,rápidamente,1330
842,conservación,1324
843,membrana,1324
844,pantalla,1320
845,resultante,1319
846,hipótesis,1318
847,cargado,1317
848,elevado,1316
849,royal,1315
850,cambridge,1314
851,separar,1313
852,convencional,1312
853,explosión,1311
854,entorno,1311
855,esperar,1310
856,polo,1309
857,comercial,1307
858,práctica,1306
859,refracción,1305
860,ataque,1302
861,infrarrojo,1302
862,enfoque,1301
863,separado,1301
864,combustión,1300
865,mitad,1298
866,iniciar,1297
867,publicación,1296
868,casa,1294
869,superficial,1294
870,fuego,1293
871,anterior,1292
872,éxito,1290
873,página,1288
874,renovable,1288
875,británico,1285
876,memoria,1284
877,televisión,1284
878,interpretación,1283
879,organismo,1283
880,elemental,1282
881,organización,1282
882,orgánico,1280
883,importancia,1279
884,hombre,1278
885,william,1277
886,surgir,1275
887,río,1275
888,derecho,1274
889,cara,1274
890,respectivamente,1272
891,difusión,1270
892,hierro,1268
893,unidades,1267
894,misión,1267
895,absorber,1266
896,transmitir,1266
897,proteína,1265
898,pensar,1264
899,puro,1264
900,vía,1263
901,relativamente,1262
902,salir,1261
903,analizar,1260
904,detección,1255
905,generado,1255
906,press,1255
907,curvatura,1253
908,sencillo,1251
909,exacto,1251
910,cilindro,1251
911,fabricación,1250
912,artificial,1250
913,enviar,1246
914,promedio,1244
915,mineral,1244
916,constituir,1240
917,neutrino,1236
918,voltaje,1236
919,entender,1233
920,combinar,1233
921,nave,1232
922,reducción,1232
923,asociación,1228
924,parcial,1225
925,abajo,1224
926,procedimiento,1223
927,conferencia,1222
928,cuarto,1222
929,griego,1222
930,polarización,1222
931,cosa,1219
932,cielo,1217
933,suceder,1216
934,lista,1216
935,ala,1215
936,ancho,1214
937,diseñado,1208
938,estimar,1208
939,coincidir,1207
940,computadora,1205
941,sufrir,1204
942,borde,1202
943,microscopio,1201
944,código,1200
945,corte,1199
946,relacionar,1198
947,difracción,1195
948,operar,1194
949,anteriormente,1193
950,dirigir,1191
951,desarrollado,1191
952,software,1191
953,álgebra,1188
954,desintegración,1188
955,lunar,1186
956,morir,1185
957,avance,1182
958,individual,1182
959,esférico,1180
960,propagación,1179
961,orientación,1178
962,reconocer,1178
963,aeronave,1177
964,estadístico,1177
965,horizontal,1177
966,terminar,1176
967,contribuir,1176
968,uniforme,1175
969,participar,1174
970,efectivo,1174
971,profesores,1172
972,astrónomo,1171
973,derivar,1171
974,fácilmente,1171
975,gamma,1171
976,perpendicular,1171
977,continuación,1170
978,interferencia,1169
979,finito,1166
980,popular,1166
981,bosón,1161
982,perfil,1160
983,filosofía,1156
984,computación,1156
985,económico,1155
986,mercado,1155
987,fricción,1154
988,transformar,1153
989,reconocimiento,1152
990,crecimiento,1150
991,duración,1149
992,ensayo,1148
993,división,1147
994,colisión,1146
995,predecir,1142
996,experimentar,1142
997,extender,1140
998,escalar,1140
999,probar,1139
1000,segundo,1138
1001,tradicional,1135
1002,comúnmente,1132
1003,histórico,1131
1004,desplazar,1130
1005,animal,1129
1006,oro,1128
1007,adoptar,1126
1008,biológico,1126
1009,londres,1124
1010,bacteria,1124
1011,añadir,1122
1012,exactamente,1122
1013,japón,1122
1014,galaxias,1121
1015,columna,1121
1016,intervalo,1118
1017,fotografía,1114
1018,sensor,1114
1019,universal,1111
1020,reemplazar,1111
1021,limitado,1109
1022,viaje,1108
1023,clave,1108
1024,rusia,1108
1025,obtenido,1106
1026,cósmico,1102
1027,disponer,1102
1028,signo,1100
1029,imán,1100
1030,acero,1100
1031,investigar,1099
1032,college,1097
1033,cristalino,1096
1034,batería,1095
1035,influencia,1094
1036,escrito,1094
1037,celda,1094
1038,albert,1093
1039,david,1090
1040,vivo,1090
1041,mano,1089
1042,riesgo,1088
1043,asumir,1085
1044,calentar,1084
1045,national,1084
1046,decidir,1081
1047,entero,1080
1048,estudiante,1077
1049,tratado,1076
1050,superar,1076
1051,hecho,1075
1052,fabricar,1074
1053,fracción,1074
1054,ordenador,1072
1055,informe,1072
1056,almacenamiento,1069
1057,anunciar,1068
1058,tridimensional,1068
1059,actualidad,1066
1060,opuesto,1065
1061,ligero,1061
1062,fácil,1059
1063,contar,1055
1064,final,1054
1065,receptor,1054
1066,módulo,1053
1067,argentina,1052
1068,destacar,1052
1069,completar,1051
1070,costo,1050
1071,lámpara,1050
1072,incrementar,1049
1073,contexto,1048
1074,ganar,1046
1075,cuestión,1046
1076,observado,1045
1077,lorentz,1044
1078,tecnológico,1041
1079,maxwell,1041
1080,inverso,1041
1081,típico,1041
1082,principios,1040
1083,american,1038
1084,mercurio,1037
1085,introducción,1036
1086,comunidad,1036
1087,dios,1033
1088,lanzar,1030
1089,daño,1029
1090,oscilación,1028
1091,horario,1027
1092,sustituir,1026
1093,existente,1026
1094,aceptar,1025
1095,patente,1025
1096,estabilidad,1024
1097,china,1024
1098,barra,1022
1099,secuencia,1021
1100,compresión,1021
1101,consejo,1020
1102,caracterizar,1019
1103,académico,1019
1104,población,1018
1105,creado,1018
1106,edición,1017
1107,bell,1017
1108,correcto,1015
1109,incorporar,1014
1110,título,1014
1111,medicina,1014
1112,distinguir,1014
1113,predicción,1013
1114,estático,1013
1115,carbón,1013
1116,petróleo,1011
1117,james,1007
1118,inicialmente,1007
1119,búsqueda,1007
1120,espectral,1007
1121,conservar,1006
1122,amarillo,1006
1123,intercambio,1004
1124,celeste,1003
1125,madrid,1002
1126,responsable,1002
1127,conectado,1001
1128,norma,1001
1129,educación,999
1130,inercial,996
1131,cargo,994
1132,igual,993
1133,nasa,993
1134,allá,992
1135,proporción,992
1136,válvula,992
1137,nulo,990
1138,tejido,990
1139,civil,989
1140,recurso,988
1141,inglaterra,987
1142,giro,987
1143,alcance,985
1144,dominio,985
1145,formulación,983
1146,ocasión,980
1147,reciente,978
1148,transversal,978
1149,europeo,977
1150,inicio,971
1151,semiconductor,971
1152,libertad,970
1153,hielo,969
1154,premios,968
1155,eficiente,966
1156,descarga,965
1157,luminoso,964
1158,emitido,962
1159,salud,962
1160,vibración,961
1161,empleado,960
1162,personaje,960
1163,automóvil,960
1164,caída,959
1165,deducir,959
1166,óxido,959
1167,italia,958
1168,realizado,957
1169,arte,957
1170,acerca,954
1171,ruso,954
1172,nota,953
1173,comisión,953
1174,carta,952
1175,elección,952
1176,profundo,951
1177,quarks,949
1178,fermi,949
1179,celular,948
1180,coste,948
1181,simétrico,947
1182,conectar,947
1183,detalle,945
1184,social,943
1185,triángulo,943
1186,misil,942
1187,pie,941
1188,experiencia,941
1189,ambiental,941
1190,estacionario,940
1191,modificar,938
1192,ampliamente,937
1193,política,934
1194,valencia,934
1195,pulso,933
1196,aerodinámico,932
1197,incidente,930
1198,galileo,929
1199,adquirir,929
1200,facultad,927
1201,astrofísica,926
1202,derecha,926
1203,interpretar,926
1204,liberar,925
1205,conseguir,924
1206,estelar,923
1207,gradiente,923
1208,revolución,920
1209,pico,920
1210,clasificación,919
1211,regresar,919
1212,comprender,918
1213,idéntico,918
1214,horizonte,916
1215,tesis,916
1216,verano,916
1217,museo,915
1218,abrir,911
1219,confirmar,911
1220,famoso,908
1221,extensión,908
1222,notación,907
1223,mejora,907
1224,armónico,907
1225,cuántica,906
1226,provenir,904
1227,político,904
1228,des,904
1229,inercia,903
1230,ayuda,902
1231,limitar,902
1232,comité,901
1233,inventar,901
1234,numérico,901
1235,trasladar,899
1236,rígido,897
1237,reducido,896
1238,medido,896
1239,conductividad,894
1240,paul,893
1241,inversión,893
1242,refrigeración,893
1243,aleatorio,892
1244,demostración,889
1245,característico,889
1246,extremadamente,887
1247,letra,886
1248,sujeto,886
1249,canadá,886
1250,max,884
1251,sensible,884
1252,ejercer,883
1253,reposo,883
1254,plata,883
1255,destilación,883
1256,humedad,882
1257,calentamiento,882
1258,masivo,881
1259,crecer,880
1260,sostener,880
1261,componer,879
1262,categoría,878
1263,tarea,878
1264,enfermedad,878
1265,propuesta,878
1266,alternativo,878
1267,atravesar,876
1268,cultura,874
1269,elástico,874
1270,gauge,873
1271,proyección,873
1272,dirigido,872
1273,cabeza,871
1274,xix,870
1275,polvo,869
1276,polar,868
1277,plan,868
1278,clasificar,867
1279,totalmente,866
1280,simulación,866
1281,puerta,866
1282,únicamente,865
1283,originalmente,863
1284,señalar,863
1285,intenso,863
1286,magnitudes,863
1287,fabricante,860
1288,correlación,859
1289,vivir,858
1290,torre,857
1291,conversión,857
1292,aparente,856
1293,perturbación,856
1294,ajustar,853
1295,big,852
1296,george,852
1297,unitario,851
1298,espectroscopia,847
1299,fino,845
1300,tren,845
1301,fractal,844
1302,theory,842
1303,argumento,842
1304,romper,840
1305,planetario,840
1306,hablar,839
1307,síntesis,839
1308,habitual,839
1309,propósito,837
1310,fundación,837
1311,curso,836
1312,aparición,836
1313,centrar,836
1314,internet,835
1315,led,834
1316,construido,833
1317,contaminación,832
1318,tercer,830
1319,torno,828
1320,aristóteles,827
1321,contraste,827
1322,acceso,825
1323,aéreo,823
1324,apoyo,821
1325,isla,821
1326,bloque,821
1327,automático,818
1328,descrito,817
1329,rama,817
1330,viscosidad,817
1331,sector,816
1332,franklin,816
1333,ligeramente,815
1334,india,815
1335,adn,815
1336,dedicar,814
1337,dosis,813
1338,residuo,812
1339,bit,811
1340,análogo,811
1341,plutonio,811
1342,evidencia,810
1343,documento,810
1344,noche,810
1345,concreto,810
1346,obstante,809
1347,demanda,809
1348,ubicado,808
1349,energy,807
1350,propagar,807
1351,fermión,806
1352,carácter,806
1353,comparar,805
1354,estructural,805
1355,precio,805
1356,virtual,804
1357,hidráulico,804
1358,probablemente,802
1359,plástico,802
1360,corrección,800
1361,caja,800
1362,puntual,799
1363,atracción,797
1364,acelerador,797
1365,sigla,797
1366,brillante,796
1367,electromagnética,795
1368,partido,795
1369,aceite,795
1370,arquitectura,795
1371,semana,794
1372,charles,794
1373,barco,794
1374,motivo,791
1375,seco,791
1376,mapa,791
1377,choque,791
1378,colaboración,789
1379,ultravioleta,788
1380,constar,788
1381,equivaler,787
1382,berlín,786
1383,revelar,786
1384,dirac,786
1385,satisfacer,785
1386,hamiltoniano,785
1387,disolución,785
1388,lanzamiento,785
1389,pintura,783
1390,traslación,783
1391,dificultad,781
1392,enfriamiento,781
1393,sombra,779
1394,particularmente,777
1395,intento,777
1396,agente,777
1397,instalar,775
1398,seguro,774
1399,journal,773
1400,asegurar,772
1401,international,772
1402,sal,772
1403,compartir,771
1404,cobre,771
1405,recto,770
1406,apertura,770
1407,notable,769
1408,richard,769
1409,schrödinger,769
1410,imposible,768
1411,ciento,768
1412,lenguaje,767
1413,izquierda,767
1414,institute,766
1415,cosmología,765
1416,avanzado,765
1417,determinación,765
1418,notas,765
1419,procesamiento,765
1420,calefacción,764
1421,falta,763
1422,aleación,762
1423,pertenecer,761
1424,soviética,761
1425,éter,761
1426,impulso,760
1427,utilización,760
1428,funcional,760
1429,caldera,760
1430,beta,759
1431,antena,759
1432,mol,758
1433,gota,757
1434,media,756
1435,acercar,755
1436,abandonar,755
1437,profesional,755
1438,clima,755
1439,registrar,755
1440,hemisferio,754
1441,supernova,753
1442,apoyar,753
1443,video,750
1444,punta,749
1445,prisma,748
1446,helio,747
1447,economía,747
1448,honorario,746
1449,usualmente,745
1450,kepler,744
1451,lento,744
1452,defensa,744
1453,chile,743
1454,nacimiento,743
1455,realmente,741
1456,joven,741
1457,árbol,741
1458,aproximar,741
1459,physical,741
1460,lluvia,741
1461,típicamente,741
1462,aprovechar,741
1463,altitud,740
1464,harvard,740
1465,ausencia,739
1466,turbina,739
1467,identidad,739
1468,escudo,739
1469,acelerar,738
1470,condensador,738
1471,permanente,737
1472,ubicación,737
1473,aislado,736
1474,madera,736
1475,bobina,736
1476,hermano,734
1477,declarar,734
1478,henry,734
1479,acoplamiento,733
1480,soporte,733
1481,considerado,732
1482,raíz,732
1483,tormenta,731
1484,telecomunicación,731
1485,bohr,731
1486,delgado,729
1487,hilbert,729
1488,intermedio,728
1489,kilómetro,728
1490,concluir,728
1491,oxidación,728
1492,costa,728
1493,roca,728
1494,iii,727
1495,lado,726
1496,cráter,726
1497,microonda,726
1498,escape,725
1499,atribuir,725
1500,océano,724
1501,with,724
1502,causado,723
1503,república,722
1504,denotar,722
1505,válido,721
1506,américa,720
1507,romano,719
1508,puente,719
1509,plazo,719
1510,quantum,718
1511,polímero,717
1512,terreno,716
1513,lectura,716
1514,esquema,716
1515,cohete,716
1516,invención,714
1517,altamente,714
1518,tubería,713
1519,decisión,713
1520,registro,713
1521,leonardo,713
1522,iónico,713
1523,interactuar,712
1524,otorgar,712
1525,ola,711
1526,tono,710
1527,galaxia,709
1528,fundar,709
1529,europea,709
1530,aluminio,709
1531,madre,708
1532,sonda,708
1533,discreto,708
1534,convección,706
1535,percepción,705
1536,ordinario,703
1537,conducción,702
1538,conclusión,701
1539,estimación,701
1540,proteger,700
1541,cubrir,699
1542,desaparecer,699
1543,inducido,699
1544,espesor,699
1545,almacenar,698
